id,content_type_id,codename,name
1,1,add_students,Can add students
2,1,change_students,Can change students
3,1,delete_students,Can delete students
4,1,view_students,Can view students
5,2,add_cart,Can add cart
6,2,change_cart,Can change cart
7,2,delete_cart,Can delete cart
8,2,view_cart,Can view cart
9,3,add_order,Can add order
10,3,change_order,Can change order
11,3,delete_order,Can delete order
12,3,view_order,Can view order
13,4,add_customuser,Can add custom user
14,4,change_customuser,Can change custom user
15,4,delete_customuser,Can delete custom user
16,4,view_customuser,Can view custom user
17,5,add_category,Can add category
18,5,change_category,Can change category
19,5,delete_category,Can delete category
20,5,view_category,Can view category
21,6,add_product,Can add product
22,6,change_product,Can change product
23,6,delete_product,Can delete product
24,6,view_product,Can view product
25,7,add_logentry,Can add log entry
26,7,change_logentry,Can change log entry
27,7,delete_logentry,Can delete log entry
28,7,view_logentry,Can view log entry
29,8,add_permission,Can add permission
30,8,change_permission,Can change permission
31,8,delete_permission,Can delete permission
32,8,view_permission,Can view permission
33,9,add_group,Can add group
34,9,change_group,Can change group
35,9,delete_group,Can delete group
36,9,view_group,Can view group
37,10,add_contenttype,Can add content type
38,10,change_contenttype,Can change content type
39,10,delete_contenttype,Can delete content type
40,10,view_contenttype,Can view content type
41,11,add_session,Can add session
42,11,change_session,Can change session
43,11,delete_session,Can delete session
44,11,view_session,Can view session
45,12,add_item,Can add item
46,12,change_item,Can change item
47,12,delete_item,Can delete item
48,12,view_item,Can view item
49,13,add_orderitem,Can add order item
50,13,change_orderitem,Can change order item
51,13,delete_orderitem,Can delete order item
52,13,view_orderitem,Can view order item
53,14,add_order,Can add order
54,14,change_order,Can change order
55,14,delete_order,Can delete order
56,14,view_order,Can view order
