id,name,slug,preview_text,detail_text,price,category_id,mainimage
1,Cole-Schneider,cole-schneider,account,Cell growth tonight. Step course choose smile clearly.,2.0,tshirt,lan.png
2,Herman-Rodriguez,herman-rodriguez,measure,Right exactly kitchen themselves daughter. Run conference care treatment.,6.0,tshirt,
3,Harris-James,harris-james,probably,Pick positive management project. Front pressure place chair southern.,1.0,tshirt,
4,Glover Ltd,glover-ltd,seek,Person order million. Key during car meet.,3.0,tshirt,
5,Ellis Group,ellis-group,forget,Different training board hope first experience yard. Common staff sometimes once.,2.0,tshirt,
6,Schneider Ltd,schneider-ltd,no,Cultural former go example girl help. Write late play heart himself result.,9.0,tshirt,
7,"Ferrell, James and Moore",ferrell-james-and-moore,community,Foreign house discover school work management include. Spend Mr whose.,5.0,tshirt,
8,Jensen-Dominguez,jensen-dominguez,pull,Key soon strong close. Note tonight air situation common bill. Upon still imagine bill start onto.,4.0,tshirt,
9,"Berry, Clark and Klein",berry-clark-and-klein,of,Natural these century body general particularly. Anything idea trouble yard nearly law.,9.0,tshirt,
10,"Li, Vega and Lewis",li-vega-and-lewis,draw,"No detail this us heavy right traditional. Ten other ahead here.
That purpose natural minute.",8.0,tshirt,
11,sdfds tshirt,sdfds-tshirt,preview,detail,200.0,tshirt,
12,Cool id card2,cool-id-card2,id card preview 3,id card details,200.0,tshirt,
13,Cool id card2,cool-id-card2,id card preview 3,id card details,200.0,tshirt,
14,Cool id card2,cool-id-card2,id card preview 3,id card details,200.0,tshirt,
15,lan,lan,lan preview,lan detail,200.0,Pants,product
16,house of cards,house-of-cards,house of cards preview,house of cards details,400.0,tshirt,
17,house of cards,house-of-cards,house of cards preview,house of cards details,400.0,tshirt,
18,sadf,sadf,sfda,sdf,23.0,tshirt,products/dsfs.jpg
19,213423,213423,ewewqr,eweqw,23443.0,tshirt,products/lan.png
20,Nishan Paudel,nishan-paudel,fsd,sdfs,23423.0,tshirt,products/House_of_Cards_US__S01E05.mkv_snapshot_06.00.911.jpg
21,Cool id card2,cool-id-card2,23243214,2413234,13214.0,tshirt,products/Screenshot_1.png
22,rwre,rwre,weqrr,qwre,324234.0,tshirt,products/Screenshot_1_uhWXxgu.png
23,1234,1234,weqrr,qwre,324234.0,tshirt,products/Screenshot_11.png
24,2344124,2344124,4321,1234,234243.0,tshirt,products/Screenshot_25.png
25,sdaf,sdaf,fsdaf,dsfafsd,123.0,tshirt,products/Screenshot_56.png
